test_name,unit,reference_range,count
Флора,п/зр,отсутствует,1
Фолаты,нг/мл,"3,2-19,6",1
Фолаты,нг/мл,3.0 - 17.0,1
Фолликулостимулирующий гормон (ФСГ),мМЕ/мл,0.95-11.95,1
Фосфатаза щелочная,Ед/л,30-120,1
Хлор,ммоль/л,98.0-112.0,1
Холестерин,ммоль/л,<5.0,1
Холестерин,ммоль/л,,1
Холестерин не-ЛПВП,ммоль/л,,1
Холестерин не-ЛПВП,ммоль/л,<3.8,1
Холестерин общий,мМоль/л,<=5.2,1
Холестерин общий,ммоль/л,менее 5,1
Холестерин-ЛПВП,ммоль/л,>1.0,1
Холестерин-ЛПВП (липопротеины высокой плотности),ммоль/л,более 1 ммоль/л,1
Холестерин-ЛПНП,ммоль/л,<3.0,1
Холестерин-неЛПВП,ммоль/л,,1
Цилиндры гиалиновые,п/зр.,,1
Цилиндры лейкоцитарные,п/зр.,0,1
Цилиндры эритроцитарные,п/зр.,0,1
Ширина распределения тромбоцитов по объему,%,11-18,1
Ширина распределения тромбоцитов по объему,%,9.30-16.70,1
Щелочная фосфатаза,Ед/л,43-115,1
Щелочная фосфатаза,Ед/л,33-98,1
Щелочная фосфатаза (ЩФ),Ед/л,43-115,1
Энтеробактерии патогенные,КОЕ/г,0,1
Энтеробактерии патогенные,КОЕ/г фекалий,0,1
Энтерококки,КОЕ/г,10^5-10^8,1
Энтерококки,КОЕ/г фекалий,10 в 5 степени -10 в 8 степени,1
Эозинофилы,%,0.5-5,1
Эозинофилы,10^9/л,0.02-0.3,1
Эпителий,п/зр,1-2,1
Эпителий плоский,п/зр.,0-2,1
Эпителий плоский,п/зр.,,1
Эпителий почечный,п/зр.,,1
Эпителий цилиндрический,,Умеренно небольшое количество,1
Эритроциты,,Единичные в поле зрения 0-1,1
Эритроциты,10^12/л,4.5-5.6,1
Эритроциты,x10*12/л,3.8 - 5.15,1
Эритроциты,п/зр,не обнаружено,1
Эстераза лейкоцитов,,,1
Эстераза лейкоцитов,,отрицательная,1
